source_slug,project_name,previous_description,updated_description
dwr,McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),"Restore hydrologic function and habitat on the 1,654-acre McCormack-Williamson Tract in a manner that also helps provide flood relief to the North Delta region by reconnecting the site as a floodplain to the Mokelumne River.","Modify and lower selected McCormack-Williamson Tract levees and restore former agricultural land to subtidal, tidal marsh, and riparian habitats, improving floodplain connectivity, aquatic and terrestrial habitat, and North Delta flood resilience."
dwr,Grizzly Slough Floodplain Restoration,"Habitat restoration effort in southern Sacramento County, near the confluence of the Cosumnes and Mokelumne Rivers, that will restore over 200 acres of floodplain and wetland habitats to support native fish and wildlife through hydrologic reconnection and native plant enhancement.","Breach the perimeter levee, realign and extend tidal channels, and add a low drainage berm at Grizzly Slough, restoring tidal and fluvial connections and creating additional floodplain and wetland habitat for native fish and wildlife."
dwr,Lower Elkhorn Basin Levee Setback,7 miles of setback levees in the Lower Elkhorn Basin along the east side of the Yolo Bypass.,"Set back approximately seven miles of levees, remove portions of the existing levee system, and modify related flood facilities to widen the Yolo and Sacramento Bypasses, increasing flood conveyance and public safety while expanding inundated floodplain and riparian habitat."
dwr,Kopta Slough Multi-Benefit Project,"Restoration of 176 acres of floodplain habitat by removing rock revetment, recontouring the riverbank, and converting agricultural land back to native riparian habitats, enhancing fish and wildlife habitat, floodplain function, and public recreation opportunities, while also reducing flood management costs.","Remove rock revetment, recontour the riverbank, and convert agricultural land to native riparian and floodplain habitat along Kopta Slough, improving fish and wildlife habitat, river function, public recreation, and flood management efficiency."
dwr,Dos Rios Norte,Enhance floodplain habitat through improved connections to the Feather River and the Sacramento River.,"Improve hydrologic connections between the Feather River, Sacramento River, and adjacent floodplain areas to create and enhance seasonal floodplain habitat that supports Chinook salmon and steelhead rearing."
dwr,Tisdale Weir Reoperation,Modify operations to create seasonal floodplain rearing habitat in the Tisdale and Sutter Bypasses.,"Rehabilitate Tisdale Weir and install an operable fish passage facility connecting the weir notch to the Sacramento River, addressing structural deficiencies while reducing fish stranding and improving upstream passage for salmon, sturgeon, and other native fish."
dwr,Agricultural Road Crossing #4 Improvements,Remove a fish passage impediment and install fish-protective screens in the Yolo Bypass.,"Remove the existing earthen Agricultural Road Crossing #4 and replace it with a bridge spanning Tule Canal, restoring unimpeded fish movement while retaining agricultural and vehicle access during non-flood conditions."
dwr,Prospect Island Tidal Habitat Restoration Project,"Restore daily tidal inundation across a diked historical marsh on Prospect Island (located within the Cache Slough Complex in Solano County) by breaching levees to reinstate tidal flow and enhance habitat for native fish, improve water quality, bolster climate resilience, and sequester carbon.","Restore tidal processes on Prospect Island by grading interior areas, managing vegetation, constructing channels and topographic features, and breaching exterior levees, converting about 1,600 acres to tidal habitat that supports Delta fish and improves food web productivity, water quality, carbon sequestration, and climate resilience."
dwr,Little Egbert Multi-Benefit Project,"Transformation of the Little Egbert Tract, a below-sea-level agricultural area at the southeastern end of the Yolo Bypass near Rio Vista, into enhanced habitat and flood conveyance zones by breaching existing levees, constructing subtidal swales and berms, and restoring native riparian and tidal ecosystems while also improving recreational opportunities and flood protection for nearby communities.","Transform the Little Egbert Tract into flood conveyance and habitat zones by modifying levees and infrastructure; creating inflow and outflow connections; constructing subtidal swales and habitat berms; and restoring native riparian, tidal, subtidal, and floodplain vegetation to improve flood protection, native fish habitat, and recreation."
dwr,Tide's End Multibenefit Restoration Project,"Restoration of approximately 2,200 acres at the downstream end of the Yolo Bypass in Yolo County to create a connected network of tidal marsh, floodplain, and wildlife-friendly agricultural habitatsbalancing flood management, ecosystem enhancement, and continued land use.","Restore and enhance roughly 2,200 acres at the downstream end of the Yolo Bypass by creating connected tidal marsh, floodplain, wetland, and riparian habitat while retaining compatible wildlife-friendly agriculture and managed wetlands, improving habitat connectivity, flood capacity, drainage, and irrigation."
dwr,Dutch Slough Tidal Restoration Project (Phase 2),"Converts approximately 1,200 acres of former grazing land near Oakley in the western SacramentoSan Joaquin Delta into a restored tidal marsh, re-establishing daily tidal flow to support native fish and wildlife, improve flood resilience, and serve as a living laboratory and community-accessed park.","Convert former grazing and dairy land near Oakley to tidal marsh by grading the remaining project parcel, restoring native vegetation, and breaching levees to reestablish daily tidal exchange, expanding habitat for native Delta fish and wildlife while improving flood protection, public access, education, and recreation."
dwr,Feather River Salmonid Spawning Habitat Improvement - 2024,"The placement, sorting, and harvesting of gravel and cobble (1/4”-5”) to restore spawning habitat in the Feather River","Place, sort, and harvest appropriately sized gravel and cobble in the Feather River to rebuild spawning substrate, increasing the quantity and quality of accessible spawning habitat for Chinook salmon and steelhead."
dwr,P68 Feather River Salmon Habitat Improvement Project,"In 2023, the first phase of the P68 Feather River Salmon Habitat Improvement Project added approximately 8,300 cubic yards of optimal sized salmon spawning gravel at four locations in the Feather River between RM 63 to 67 to increase the amount of suitable and accessible spawning habitat for salmonids in the Feather River. Gravel will be added at other locations upstream of the locations that received gravel in 2023 when the second phase of the project is completed in 2026.","Place and distribute spawning-sized gravel at targeted Feather River locations to expand accessible spawning habitat for salmonids, building on the first-phase gravel additions and supporting continued Chinook salmon and steelhead reproduction."
ebmud,Mokelumne River - MRDUA Large Floodplain Project,Floodplain Restoration,"Reconnect and lower floodplain surfaces in the Mokelumne River Day Use Area to create seasonally inundated habitat, increasing rearing opportunities for juvenile Chinook salmon and restoring floodplain function."
ebmud,Mokelumne River - Gravel Maintenance Project - Early Implementation Projects,Gravel Maintenance,"Maintain spawning gravel at suitable elevations in the Lower Mokelumne River through targeted gravel replenishment and management, sustaining accessible spawning habitat for Chinook salmon and steelhead where dams and historic mining have reduced natural gravel supply."
ebmud,Mokelumne River - Floodplain Restoration Projects - Early Implementation Projects,Floodplain Restoration,Restore and reconnect floodplain areas in the Mokelumne River Day Use Area to provide seasonal inundation and shallow-water rearing habitat for juvenile Chinook salmon while improving floodplain processes.
ebmud,Mokelumne River - CE Large Floodplain Restoration Project,Floodplain Restoration,Reconnect and restore a larger Mokelumne River floodplain area to provide seasonally inundated juvenile salmon rearing habitat and improve floodplain function.
ebmud,Mokelumne River - In Channel Rearing Habitat Restoration Project,In Channel Rearing Habitat Restoration,"Implement in-channel habitat improvements on the Lower Mokelumne River to create shallow, hydraulically diverse rearing conditions for juvenile Chinook salmon and improve the ecological function of the regulated river reach."
ebmud,Mokelumne River - Gravel Maintenance Project – Current and Future Maintenance Projects,Gravel Maintenance,Continue targeted maintenance of Lower Mokelumne River spawning gravel so suitable substrate remains available for Chinook salmon and steelhead despite limited natural gravel recruitment below upstream dams.
sbfca,Oroville Wildlife Area River Restoration Project at Robinson's Riffle,"The Oroville Wildlife Area River Restoration (OWA-RR) Project at Robinson’s Riffle is a river channel and floodplain enhancement project focused on improving salmon habitat within the OWA. The project involves lowering the riverbank to generate gravel material, which will be added to the riverbed so adult fish can spawn, as well as creating side channels and floodplain habitat for juvenile fish. The project also has recreation, flood and erosion risk reduction, and aesthetic benefits.","Excavate relict mine tailings, construct gravel bars and riffles, reconnect the Feather River to its historic floodplain, and create seasonal side-channel, pool, and riparian features at Robinson's Riffle, improving Chinook salmon and steelhead spawning and rearing habitat while reducing flood stages and supporting recreation."
scwa,Nishikawa on Putah Creek,Salmon habitat restoration,"Restore approximately one-half mile of Putah Creek by narrowing and meandering the low-flow channel and lowering the floodplain, increasing the extent and frequency of inundation to improve juvenile Chinook salmon rearing habitat and habitat for other native fish."
scwa,Putah Gravel Augmentation and Scarification,Salmon habitat restoration,"Periodically add and scarify gravel in Putah Creek to maintain clean, suitably sized spawning substrate, improving Chinook salmon spawning habitat in a reach with limited natural sediment replenishment."
scwa,Putah Creek fish passage at Los Rios Check Dam,Salmon passage planning project,"Advance planning, design, environmental review, and permitting for fish-passage improvements at Los Rios Check Dam so Chinook salmon can move more freely through Putah Creek and reach upstream habitat."
scwa,Putah Creek fish passage at County Rd 106a,Salmon passage planning project,"Advance planning, design, environmental review, and permitting for fish passage improvements at the County Road 106A crossing, reducing an obstruction to Chinook salmon movement and improving access to habitat in Putah Creek."
sfpuc,Upstream of Old LaGrange Bridge Restoration Project,Restoration projects aimed at improving spawning and rearing habitat below La Grange Dam,"Restore about one mile of the Tuolumne River upstream of Old La Grange Bridge by reconstructing and contouring riffles, placing coarse sediment and spawning gravel, and reconnecting adjacent floodplain surfaces, increasing channel complexity and spawning and rearing habitat for Chinook salmon and steelhead."
sfpuc,Powerhouse Riffles Restoration Project,Restoration projects aimed at improving spawning and rearing habitat below La Grange Dam,"Rebuild approximately 2,500 feet of Lower Tuolumne River habitat below La Grange Dam by adding clean gravel and constructing riffles, gravel bars, habitat boulders, and large wood features, replacing simplified cascades and pools with more complex spawning and rearing habitat for salmonids."
water-forum,Nimbus Basin,Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat in the Lower American River at Nimbus Basin by replenishing and sorting clean gravel, carving and enhancing side channels, adding large wood, and establishing riparian vegetation to provide suitable spawning substrate, cover, shade, and food-web habitat for Chinook salmon and steelhead."
water-forum,Upper Sailor Bar,Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat at Upper Sailor Bar by replenishing and sorting clean gravel and enhancing side-channel and floodplain features, increasing suitable substrate, cover, and shallow-water habitat for Chinook salmon and steelhead."
water-forum,Lower Sailor Bar,Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat at Lower Sailor Bar by replenishing and sorting clean gravel, carving and enhancing side channels, adding large wood, and establishing riparian vegetation to provide spawning substrate, cover, shade, and food web habitat for Chinook salmon and steelhead."
water-forum,Ancil Hoffman,Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat at Ancil Hoffman Park by replenishing and sorting clean gravel and enhancing side-channel and floodplain features, increasing suitable substrate and protected shallow-water habitat for Chinook salmon and steelhead."
water-forum,"Upper River Bend, Phase 1",Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat at Upper River Bend by replenishing and sorting clean gravel and enhancing side-channel and floodplain features, improving suitable substrate and protected shallow-water habitat for Chinook salmon and steelhead."
water-forum,River Bend,Spawning and instream rearing habitat combination project.,"Restore spawning and juvenile rearing habitat at River Bend by replenishing and sorting clean gravel and enhancing side-channel and floodplain features, improving suitable substrate and protected shallow-water habitat for Chinook salmon and steelhead."
